Close,Employment_rate,Trading_Volume,GDP,High,Low,Open
15.11,9.92,2366286,15351.444,15.14,14.91,14.93
15.05,9.92,1825499,15351.444,15.15,15,15.14
15.23,9.92,2532225,15351.444,15.26,15,15
15.34,9.92,2058176,15351.444,15.46,15.25,15.27
15.41,9.92,2101270,15351.444,15.46,15.25,15.4
15.36,9.92,1581069,15351.444,15.38,15.21,15.37
15.4,9.92,1440991,15351.444,15.47,15.36,15.44
15.42,9.92,1632698,15351.444,15.48,15.37,15.48
15.42,9.92,1333947,15351.444,15.49,15.35,15.42
15.6,9.92,2370328,15351.444,15.61,15.43,15.44
15.99,9.92,3620063,15351.444,16.05,15.63,15.66
15.79,9.92,3412573,15351.444,16.07,15.74,16.06
15.67,9.92,5485733,15351.444,15.85,15.58,15.8
15.3,9.92,8904357,15351.444,16.04,15.28,15.99
15.28,9.92,4604997,15351.444,15.31,15.03,15.19
15.5,9.92,3647644,15351.444,15.52,15.16,15.2
15.41,9.92,2041746,15351.444,15.56,15.38,15.5
15.42,9.92,2019427,15351.444,15.49,15.33,15.45
15.02,9.92,4233962,15351.444,15.51,14.99,15.5
15.01,9.92,2804006,15351.444,15.11,14.89,15.08
15.28,9.69,2745862,15351.444,15.33,15.08,15.11
15.3,9.69,1760755,15351.444,15.36,15.19,15.28
15.25,9.69,1497474,15351.444,15.29,15.15,15.24
15.27,9.69,1552505,15351.444,15.29,15.17,15.25
15.36,9.69,1802017,15351.444,15.46,15.23,15.25
15.46,9.69,1696452,15351.444,15.49,15.36,15.37
15.41,9.69,1843394,15351.444,15.49,15.31,15.42
15.41,9.69,2336117,15351.444,15.44,15.29,15.39
15.61,9.69,2593390,15351.444,15.63,15.33,15.34
15.7,9.69,2131868,15351.444,15.74,15.5,15.5
15.6,9.69,2092614,15351.444,15.75,15.58,15.68
15.61,9.69,1686963,15351.444,15.66,15.55,15.64
15.63,9.69,1479175,15351.444,15.68,15.51,15.53
15.75,9.69,3217815,15351.444,15.78,15.6,15.65
15.26,9.69,3642208,15351.444,15.62,15.19,15.51
15.28,9.69,2891878,15351.444,15.37,15.1,15.26
15.22,9.69,2712959,15351.444,15.33,15.03,15.28
15.25,9.69,1935852,15351.444,15.37,15.24,15.3
15.34,9.69,2284336,15351.444,15.41,15.2,15.25
15.02,9.32,3323575,15351.444,15.48,14.98,15.46
15.02,9.32,2026933,15351.444,15.15,14.88,15
15.24,9.32,1949335,15351.444,15.29,15.13,15.16
15.02,9.32,3011542,15351.444,15.22,15.01,15.19
14.79,9.32,3461738,15351.444,15.09,14.68,15.07
14.81,9.32,2287771,15351.444,14.95,14.76,14.82
14.79,9.32,2150991,15351.444,14.86,14.64,14.78
14.51,9.32,3127211,15351.444,14.67,14.49,14.64
14.42,9.32,3029401,15351.444,14.5,14.33,14.43
14.25,9.32,2813969,15351.444,14.46,14.2,14.32
14.24,9.32,4006381,15351.444,14.28,13.89,13.94
13.93,9.32,3800712,15351.444,14.24,13.78,14.22
14.03,9.32,2899727,15351.444,14.23,14.01,14.11
14.03,9.32,3302850,15351.444,14.2,13.99,14.11
14.41,9.32,3022174,15351.444,14.5,14.23,14.23
14.43,9.32,1887185,15351.444,14.48,14.31,14.44
14.55,9.32,1816164,15351.444,14.56,14.3,14.38
14.67,9.32,2097978,15351.444,14.71,14.47,14.64
14.49,9.32,2859497,15351.444,14.67,14.48,14.67
14.38,9.32,2218910,15351.444,14.62,14.37,14.55
14.54,9.32,1605138,15351.444,14.55,14.33,14.4
14.55,9.32,1422475,15351.444,14.64,14.51,14.62
14.67,9.32,2031385,15351.444,14.7,14.54,14.58
14.8,8.79,2613266,15557.535,14.88,14.72,14.73
14.69,8.79,2054817,15557.535,14.87,14.58,14.83
14.23,8.79,6048187,15557.535,14.54,14.14,14.53
14.35,8.79,2668385,15557.535,14.38,14.2,14.3
14.5,8.79,2531975,15557.535,14.52,14.35,14.39
14.45,8.79,1902581,15557.535,14.62,14.45,14.6
14.43,8.79,1858382,15557.535,14.45,14.33,14.41
14.27,8.79,2085766,15557.535,14.42,14.2,14.38
14.41,8.79,2071646,15557.535,14.44,14.29,14.4
14.46,8.79,5456289,15557.535,14.49,14.3,14.38
13.27,8.79,14050013,15557.535,13.64,13.25,13.64
13.17,8.79,5041089,15557.535,13.19,12.98,13.17
13.04,8.79,2685395,15557.535,13.27,13.02,13.25
13.14,8.79,3059160,15557.535,13.17,13.03,13.14
13.13,8.79,2471056,15557.535,13.21,13.06,13.19
13.13,8.79,1629933,15557.535,13.18,13.05,13.14
13.32,8.79,3530591,15557.535,13.44,13.13,13.16
13.44,8.79,2297840,15557.535,13.45,13.36,13.45
13.45,8.79,2037378,15557.535,13.48,13.35,13.45
13.6,8.79,4228467,15557.535,13.6,13.46,13.5
13.46,8.86,2133972,15557.535,13.64,13.43,13.63
13.35,8.86,2081574,15557.535,13.55,13.24,13.43
13.39,8.86,2116955,15557.535,13.48,13.33,13.38
13.36,8.86,1997054,15557.535,13.49,13.29,13.35
13.38,8.86,2056186,15557.535,13.54,13.38,13.45
13.44,8.86,1947419,15557.535,13.46,13.28,13.38
13.57,8.86,2041355,15557.535,13.61,13.44,13.5
13.39,8.86,2338875,15557.535,13.59,13.34,13.5
13.38,8.86,1448203,15557.535,13.42,13.27,13.38
13.24,8.86,2107641,15557.535,13.4,13.23,13.37
12.96,8.86,2956554,15557.535,13.18,12.91,13.16
13.26,8.86,3304874,15557.535,13.28,12.88,12.89
13.25,8.86,1954293,15557.535,13.26,13.14,13.24
13.28,8.86,2471136,15557.535,13.41,13.24,13.32
13.1,8.86,2318873,15557.535,13.3,13.08,13.3
12.96,8.86,2252638,15557.535,13,12.84,12.92
12.96,8.86,1888538,15557.535,13.1,12.95,13.01
12.99,8.86,1301567,15557.535,13.07,12.93,12.93
12.95,8.86,2118981,15557.535,13.05,12.88,12.94
13.02,8.86,1746296,15557.535,13.04,12.91,12.96
13.23,8.86,2687858,15557.535,13.23,13.09,13.13
13.14,9.46,2957172,15557.535,13.33,13.13,13.2
13.2,9.46,2204422,15557.535,13.26,13.06,13.19
13.08,9.46,1748462,15557.535,13.19,13.04,13.05
13.03,9.46,1942088,15557.535,13.17,12.98,13.09
12.98,9.46,1907509,15557.535,13.12,12.97,13.07
12.98,9.46,1654097,15557.535,13.03,12.89,12.91
12.92,9.46,1689086,15557.535,13,12.89,13
12.74,9.46,2440475,15557.535,12.92,12.73,12.88
12.62,9.46,2427208,15557.535,12.76,12.55,12.75
12.71,9.46,2341461,15557.535,12.85,12.67,12.7
12.57,9.46,2073301,15557.535,12.71,12.52,12.63
12.51,9.46,2757216,15557.535,12.66,12.42,12.57
12.13,9.46,5251546,15557.535,12.67,12.12,12.67
12.11,9.46,3028639,15557.535,12.16,11.98,12.13
12.33,9.46,2765357,15557.535,12.35,12.12,12.15
12.18,9.46,2407972,15557.535,12.31,12.17,12.29
12.01,9.46,4802302,15557.535,12.07,11.84,12.05
11.87,9.46,3806587,15557.535,12.02,11.83,12.02
12.07,9.46,3444633,15557.535,12.21,11.84,11.85
12.34,9.46,2717364,15557.535,12.41,12.1,12.13
12.44,9.46,2342920,15557.535,12.51,12.31,12.4
12.66,9.46,2428510,15557.535,12.67,12.54,12.55
13.03,9.44,3636642,15647.681,13.03,12.66,12.67
13.31,9.44,3847351,15647.681,13.39,13.13,13.13
13.38,9.44,2695681,15647.681,13.46,13.33,13.34
13.67,9.44,3935660,15647.681,13.77,13.4,13.52
13.3,9.44,4770170,15647.681,13.44,13.18,13.32
13.18,9.44,2839996,15647.681,13.4,13.14,13.2
13.35,9.44,2841532,15647.681,13.49,13.15,13.22
13.46,9.44,2790771,15647.681,13.6,13.41,13.43
13.22,9.44,6649410,15647.681,13.55,13.17,13.48
14.94,9.44,13735983,15647.681,15.01,14.7,14.94
14.87,9.44,4469225,15647.681,15.05,14.8,14.8
15.06,9.44,2967816,15647.681,15.12,14.89,14.89
14.88,9.44,2229023,15647.681,15.07,14.88,15.06
15.17,9.44,3469850,15647.681,15.2,14.85,14.86
15.46,9.44,3531622,15647.681,15.49,15.11,15.13
15.47,9.44,3131952,15647.681,15.64,15.33,15.35
15.56,9.44,2343370,15647.681,15.69,15.43,15.45
15.18,9.44,3934890,15647.681,15.52,15.12,15.43
15.27,9.44,3109115,15647.681,15.4,15.08,15.13
15.09,9.44,4138101,15647.681,15.37,15.09,15.1
15.17,9.18,3968312,15647.681,15.39,14.98,15.28
14.81,9.18,3201303,15647.681,15.24,14.79,15.15
15.03,9.18,3825910,15647.681,15.08,14.59,14.85
14.44,9.18,4916432,15647.681,14.97,14.44,14.88
14.48,9.18,5930780,15647.681,14.75,14.05,14.56
13.65,9.18,7497701,15647.681,14.23,13.61,14.05
14.34,9.18,6470475,15647.681,14.37,13.53,14.02
13.73,9.18,5373697,15647.681,14.1,13.69,14.04
14.05,9.18,4832119,15647.681,14.21,13.71,13.85
14.09,9.18,3088951,15647.681,14.26,14.01,14.24
13.93,9.18,7145020,15647.681,14.12,13.65,13.84
13.48,9.18,6940503,15647.681,13.81,13.26,13.81
13.33,9.18,4038219,15647.681,13.59,13.27,13.5
12.62,9.18,6291368,15647.681,13.12,12.51,13.1
12.27,9.18,5411586,15647.681,12.87,12.27,12.49
12.45,9.18,4907175,15647.681,12.68,12.36,12.6
12.97,9.18,4347823,15647.681,13.04,12.48,12.6
13.08,9.18,3598264,15647.681,13.25,12.93,12.98
13,9.18,3297297,15647.681,13.43,12.96,13.26
13.17,9.18,3597309,15647.681,13.26,12.83,12.98
13.48,9.18,2338106,15647.681,13.49,13.34,13.36
13.52,9.18,2990176,15647.681,13.57,13.27,13.45
13.52,9.18,2693390,15647.681,13.66,13.4,13.63
13.31,8.87,2415607,15647.681,13.6,13.28,13.58
13.12,8.87,2402024,15647.681,13.2,13.02,13.13
13.05,8.87,2715977,15647.681,13.07,12.76,12.77
13.35,8.87,2758545,15647.681,13.4,13.19,13.25
13.37,8.87,2381025,15647.681,13.48,13.3,13.35
13.12,8.87,3269069,15647.681,13.37,13.03,13.29
13.25,8.87,2670471,15647.681,13.3,12.94,12.95
13.24,8.87,2354150,15647.681,13.35,13.09,13.3
13.3,8.87,2694739,15647.681,13.42,13.15,13.34
13.56,8.87,2961967,15647.681,13.62,13.36,13.39
13.67,8.87,3534779,15647.681,13.67,13.58,13.62
13.67,8.87,2471190,15647.681,13.75,13.38,13.51
13.67,8.87,2779078,15647.681,13.96,13.57,13.74
13.48,8.87,2516138,15647.681,13.88,13.47,13.69
13.02,8.87,4400586,15647.681,13.22,12.85,13.16
13.14,8.87,2778870,15647.681,13.16,12.86,12.91
